,0,1,2,3,4
0,香港鲤鱼门海鲜城,山东省,青岛市,黄岛区,滨海大道2288号
0,北京腾安文化发展有限公司,山东省,青岛市,李沧区,郑佛路11号绿城东
1,青岛腾琳木业有限公司,山东省,青岛市,胶州市,里岔镇大朱郭工业园
2,青岛腾祥瑞工贸有限公司,山东省,青岛市,即墨区,长江二路
3,青岛腾赫科技有限公司,山东省,青岛市,即墨区,由和一路29附近
4,青岛腾塑包装有限公司,山东省,青岛市,胶州市,站前大道51号附近
5,青岛腾顺源工贸有限公司,山东省,青岛市,平度市,凤台街道经二路112号
6,青岛腾方建设有限公司,山东省,青岛市,崂山区,中韩街道银川东路鲁信长春花园16号楼202
7,青岛腾锦商贸有限公司,山东省,青岛市,市南区,瑞纳康都B座1605
8,青岛腾祺机电有限公司,山东省,青岛市,城阳区,赵红路中段红埠工业区
9,青岛腾飞餐饮管理有限公司,山东省,青岛市,黄岛区,紫金山支路19号附近
10,青岛腾本味食品有限公司,山东省,青岛市,胶州市,胶州湾工业园区8号路
11,青岛腾运杰工程有限公司,山东省,青岛市,李沧区,东山五路44号
12,青岛腾利洋商贸有限公司,山东省,青岛市,市北区,傍海中路与镇平路交叉口东北150米
13,青岛龙腾皓文化传媒有限公司,山东省,青岛市,市南区,如东路与新沂路交叉口东100米
14,青岛腾原生物科技有限公司,山东省,青岛市,平度市,外向型加工区漳州路2号
15,青岛腾旺达国际贸易有限公司,山东省,青岛市,城阳区,黑龙江路与湘潭路交汇处西300米左右湘潭路5号
16,青岛腾骐机械制造有限公司,山东省,青岛市,即墨区,通济街道天山二路31号安泰驾校西100米
17,青岛腾飞佳源实业发展有限公司,山东省,青岛市,市北区,胶东路1号12-14栋一层
18,青岛腾飞佳源宝业发展有限公司,山东省,青岛市,市北区,辽宁路街道胶东路1号天帝山城12栋一层
19,青岛盛霖腾达经贸发展有限公司,山东省,青岛市,市北区,合肥路街道沾化路40号
20,青岛腾诚网络科技有限公司,山东省,青岛市,城阳区,南流路283号
21,青岛腾吉龙机械设备有限公司,山东省,青岛市,黄岛区,昆仑山南路95-2号
22,青岛腾盛达碳素机械有限公司,山东省,青岛市,莱西市,望城街道办事处长沙路3号
23,青岛腾润翔检测评价有限公司,山东省,青岛市,城阳区,[]
24,青岛腾润达环保设备有限公司,山东省,青岛市,胶州市,香江迎宾大道5号
0,多鲜乐(青岛)餐饮管理有限公司,山东省,青岛市,市南区,东海西路17号海信大厦1217室
0,书香·人家,山东省,青岛市,黄岛区,渭河路917号科技大学内学者餐厅3层
1,海韵香都,山东省,青岛市,崂山区,"海龙路9号,瑞士花园南门对面"
2,铭家(麦岛店),山东省,青岛市,崂山区,麦岛路1-1号
