newname,Unnamed: 0,0,1,2,3,4
香港鲤鱼门海鲜城,0,香港鲤鱼门海鲜城,山东省,青岛市,黄岛区,滨海大道2288号
北京腾安文化发展,0,北京腾安文化发展有限公司,山东省,青岛市,李沧区,郑佛路11号绿城东
腾琳木业,1,青岛腾琳木业有限公司,山东省,青岛市,胶州市,里岔镇大朱郭工业园
腾祥瑞工贸,2,青岛腾祥瑞工贸有限公司,山东省,青岛市,即墨区,长江二路
腾赫科技,3,青岛腾赫科技有限公司,山东省,青岛市,即墨区,由和一路29附近
腾塑包装,4,青岛腾塑包装有限公司,山东省,青岛市,胶州市,站前大道51号附近
腾顺源工贸,5,青岛腾顺源工贸有限公司,山东省,青岛市,平度市,凤台街道经二路112号
腾方建设,6,青岛腾方建设有限公司,山东省,青岛市,崂山区,中韩街道银川东路鲁信长春花园16号楼202
腾锦商贸,7,青岛腾锦商贸有限公司,山东省,青岛市,市南区,瑞纳康都B座1605
腾祺机电,8,青岛腾祺机电有限公司,山东省,青岛市,城阳区,赵红路中段红埠工业区
腾飞,9,青岛腾飞餐饮管理有限公司,山东省,青岛市,黄岛区,紫金山支路19号附近
腾本味食品,10,青岛腾本味食品有限公司,山东省,青岛市,胶州市,胶州湾工业园区8号路
腾运杰工程,11,青岛腾运杰工程有限公司,山东省,青岛市,李沧区,东山五路44号
腾利洋商贸,12,青岛腾利洋商贸有限公司,山东省,青岛市,市北区,傍海中路与镇平路交叉口东北150米
龙腾皓文化传媒,13,青岛龙腾皓文化传媒有限公司,山东省,青岛市,市南区,如东路与新沂路交叉口东100米
腾原生物科技,14,青岛腾原生物科技有限公司,山东省,青岛市,平度市,外向型加工区漳州路2号
腾旺达国际贸易,15,青岛腾旺达国际贸易有限公司,山东省,青岛市,城阳区,黑龙江路与湘潭路交汇处西300米左右湘潭路5号
腾骐机械制造,16,青岛腾骐机械制造有限公司,山东省,青岛市,即墨区,通济街道天山二路31号安泰驾校西100米
腾飞佳源实业发展,17,青岛腾飞佳源实业发展有限公司,山东省,青岛市,市北区,胶东路1号12-14栋一层
腾飞佳源宝业发展,18,青岛腾飞佳源宝业发展有限公司,山东省,青岛市,市北区,辽宁路街道胶东路1号天帝山城12栋一层
